File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 6351 (85.10%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 1112 (14.90%), 6351 (85.10%), 7463
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
embedding_layer,test1,556.000000,0.001000,0.001000,3175.523000,0.000000,0.000000,3175.523000,157.454376,275.545166,0.000000,-nan,0.000000,0.000000,-nan,0.000000,7463.056000
embedding_layer,test1,556.000000,0.001000,0.001000,3175.523000,0.000000,0.000000,3175.523000,157.454376,275.545166,0.000000,-nan,0.000000,0.000000,-nan,0.000000,7463.056000
SUM,test1,1112.000000,0.002000,0.002000,6351.046000,0.000000,0.000000,6351.046000,NONE,NONE,0.000000,NONE,NONE,0.000000,NONE,NONE
total exposed comm,6351.052000,total comp,1112.004000,total time,7463.056000
